"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "PostCSS", "HTML", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.html", "HTML", 0, 0, 0, 0, 0, 472, 0, 0, 0, 45, 517
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 0, 0, 173, 0, 0, 0, 0, 0, 28, 201
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 0, 0, 1304, 0, 0, 0, 0, 50, 90, 1444
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\certificado-taller.ts", "TypeScript", 0, 0, 0, 243, 0, 0, 0, 0, 3, 19, 265
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\declaracion-responsable.ts", "TypeScript", 0, 0, 0, 239, 0, 0, 0, 0, 39, 42, 320
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\memoria-tecnica.ts", "TypeScript", 0, 0, 0, 3245, 0, 0, 0, 0, 71, 117, 3433
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 0, 0, 5246, 0, 0, 0, 0, 87, 223, 5556
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-arquitectos\gestionar-arquitectos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-arquitectos\gestionar-arquitectos.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 0, 8, 20, 166
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-arquitectos\gestionar-arquitectos.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-arquitectos\gestionar-arquitectos.component.ts", "TypeScript", 0, 0, 0, 199, 0, 0, 0, 0, 0, 26, 225
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.html", "HTML", 0, 0, 0, 0, 0, 139, 0, 0, 8, 20, 167
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.ts", "TypeScript", 0, 0, 0, 216, 0, 0, 0, 0, 0, 26, 242
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-instaladores\gestionar-instaladores.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-instaladores\gestionar-instaladores.component.html", "HTML", 0, 0, 0, 0, 0, 150, 0, 0, 0, 17, 167
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-instaladores\gestionar-instaladores.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-instaladores\gestionar-instaladores.component.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 0, 24, 206
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\interfaces\ReformaItem.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\interfaces\modificacion.ts", "TypeScript", 0, 0, 0, 859, 0, 0, 0, 0, 0, 85, 944
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\funciones\documento.service.ts", "TypeScript", 0, 0, 0, 5801, 0, 0, 0, 0, 212, 306, 6319
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.html", "HTML", 0, 0, 0, 0, 0, 1929, 0, 0, 0, 73, 2002
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-documentacion\gestor-documentacion.component.ts", "TypeScript", 0, 0, 0, 648, 0, 0, 0, 0, 2, 65, 715
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-trello\gestor-trello.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pagesVivienda\gestor-trello\gestor-trello.component.html", "HTML", 0, 0, 0, 0, 0, 790, 0, 0, 0, 42, 832
